from,to,relationship,weight
gizeh,fynn,2,1
fynn,gizeh,2,1
fynn,agantty,1,2
fynn,fkvv,1,2
fynn,floss,1,2
fynn,oderso,1,2
fynn,texas,1,2
fynn,twofingers,1,2
fynn,herrlich,1,2
fynn,ldgg,1,2
orthmann,kliemannsland,1,2
orthmann,agantty,1,2
tietjen,twofingers,1,2
agantty,fynn,1,2
fkvv,fynn,1,2
floss,fynn,1,2
oderso,fynn,1,2
texas,fynn,1,2
twofingers,fynn,1,2
herrlich,fynn,1,2
ldgg,fynn,1,2
kliemannsland,orthmann,1,2
agantty,orthmann,1,2
twofingers,tietjen,1,2
ohrtmann,fynn,1,2
bottmann,fynn,1,2
tietjen,fynn,1,2
fynn,ohrtmann,1,2
fynn,bottmann,1,2
fynn,tietjen,1,2
